"EN^107706426RR0001^BC^C^07-01-1998 0:00^1.0^12.0^nan^nan^SS2^2.0^75.0^3.0^Executive Director^West Coast^,,,"
"EN^106846553RR0001^MB^C^6/14/1979 0:00^99.0^1.0^nan^nan^SS2^3.0^10.0^3.0^CEO^Prairie Provinces^703552.0,,,"
"FR-CA^104035936RR0001^QC^C^08-01-1985 0:00^99.0^190.0^nan^nan^SS5 & SS4^2.0^30.0^1.0^Directrice^Central Canada^209962.0,,,"
"FR-CA^134172857RR0001^QC^C^01-01-1990 0:00^99.0^1.0^nan^nan^SS5 & SS4^17.0^81.0^0.0^Directrice générale^Central Canada^1611108.0,,,"
"FR-CA^100890011RR0001^QC^C^7/24/1993 0:00^1.0^100.0^nan^nan^SS5 & SS4^5.0^2.0^1.0^Directeur^Central Canada^315121.0,,,"
"nan^106990856RR0001^QC^C^08-01-1986 0:00^99.0^1.0^nan^nan^SS2^13.0^15.0^1.0^nan^Central Canada^971991.0,,,"
"FR-CA^129905972RR0001^QC^C^01-04-1999 0:00^19.0^160.0^nan^nan^nan^6.0^16.0^3.0^nan^Central Canada^225369.0,,,"
"FR-CA^107594343RR0001^QC^C^3/30/1982 0:00^5.0^200.0^nan^nan^SS5 & SS4^4.0^26.0^2.0^Directeur général^Central Canada^273619.0,,,"
"EN^108091000RR0001^ON^C^01-01-1977 0:00^9.0^200.0^nan^nan^SS4^4.0^20.0^1.0^Membership Coordinator^Central Canada^393533.0,,,"
"EN^108130709RR0001^AB^C^01-01-1975 0:00^99.0^200.0^nan^nan^SS4^6.0^20.0^5.0^Library Manager^Prairie Provinces^310248.0,,,"
"EN^776963282RR0001^BC^B^09-10-2018 0:00^13.0^1.0^nan^nan^SS1^nan^12.0^nan^Executive Director^West Coast^,,,"
"EN^106929680RR0001^NS^C^13.03.1973 00:00^99.0^1.0^nan^nan^SS4^3.0^51.0^2.0^Executive Director^Atlantic region^146832.0,,,"
"EN^119103810RR0001^BC^C^04-01-1981 0:00^99.0^1.0^nan^nan^SS4 & SS3^48.0^nan^21.0^Program Director^West Coast^3404600.0,,,"
"EN^141057794RR0001^BC^A^05-01-1994 0:00^99.0^1.0^nan^nan^SS1^nan^100.0^nan^Executive Assistant^West Coast^,,,"
"EN^806378659RR0001^ON^B^01-01-2011 0:00^14.0^100.0^nan^nan^SS1^0.0^13.0^0.0^Executive Director^Central Canada^,,,"
"EN^137077111RR0001^BC^C^1.04.1991 00:00^99.0^1.0^nan^nan^SS4 & SS3^65.0^34.0^66.0^Director of Policy, Research, and Projects^West Coast^6883192.0,"
"EN^137463808RR0001^ON^C^4/13/2006 0:00^6.0^14.0^nan^nan^SS6 & SS4^15.0^nan^nan^Direcor, International and Corporate Relations^Central Canada^1061002.0,,"
"FR-CA^106733876RR0001^NB^C^##########^7.0^160.0^nan^nan^SS2^8.0^2.0^0.0^nan^Atlantic region^243133.0,,,"
"FR-CA^106902091RR0001^QC^C^01-04-1997 0:00^13.0^1.0^nan^nan^SS5 & SS4^2.0^nan^nan^nan^Central Canada^150614.0,,,"
"EN^898798467RR0001^ON^C^03-01-1996 0:00^99.0^1.0^nan^nan^SS4^1.0^nan^nan^Program Coordinator^Central Canada^184394.0,,,"
"EN^119075638RR0001^BC^C^8/14/1987 0:00^1.0^170.0^nan^nan^SL Climate & Environment / Climat & Environnement^nan^nan^nan^CFO^West Coast^10985216.0,,,"
"EN^106962707RR0001^ON^C^1/15/1982 0:00^99.0^160.0^nan^nan^SS4^32.0^220.0^6.0^Executive Director^Central Canada^1578969.0,,,"
"EN^107807224RR0001^ON^C^01-01-1992 0:00^99.0^1.0^nan^nan^SS4^41.0^0.0^0.0^Executive Director^Central Canada^2696281.0,,,"
"EN^119026268RR0001^ON^C^21-06-1987 0:00^99.0^1.0^nan^nan^SS4^3.0^16.0^1.0^Executive Director^Central Canada^1405934.0,,,"
"EN^108085408RR0001^NL^C^01-01-1967 0:00^99.0^160.0^nan^nan^SS4^79.0^20.0^33.0^Manager -Open Custody^Atlantic region^4395824.0,,,"
"nan^144489671RR0001^QC^C^9/20/2017 0:00^99.0^12.0^nan^nan^SS6 & SS5 & SS4^1.0^nan^1.0^nan^Central Canada^6722055.0,,,"
"FR-CA^106901804RR0001^QC^C^##########^99.0^1.0^nan^nan^SS5 & SS4^30.0^200.0^3.0^nan^Central Canada^1225600.0,,,"
"EN^118871011RR0001^ON^C^09-11-1986 0:00^99.0^1.0^nan^nan^SS4^2.0^1.0^6.0^Executive Director^Central Canada^499265.0,,,"
"FR-CA^104455027RR0001^QC^C^07-01-1989 0:00^99.0^1.0^nan^nan^SS5 & SS4^1.0^10.0^1.0^Coordonnatrice^Central Canada^70567.0,,,"
"EN^843225939RR0001^BC^C^11-02-2012 0:00^99.0^155.0^nan^nan^SL Advocacy & Human rights / Plaidoyer et droits de l'homme^10.0^15.0^nan^CEO^West Coast^,,,"
"nan^119009348RR0001^BC^C^04-01-1980 0:00^99.0^190.0^nan^nan^SS4 & SS3^5.0^6.0^nan^nan^West Coast^659335.0,,,"
"EN^755607710RR0001^ON^C^19.11.2020 00:00^99.0^1.0^nan^nan^SS2^2.0^105.0^3.0^Treasurer^Central Canada^1330144.0,,,"
"EN^119057032RR0001^BC^C^1.04.1984 00:00^99.0^1.0^nan^nan^Initial List^nan^nan^nan^Victim Assistance Unit Coordinator^West Coast^11566.0,,,"
"EN^763368099RR0001^BC^C^14-09-2017 0:00^9.0^160.0^nan^nan^SS2^18.0^20.0^3.0^nan^West Coast^1213820.0,,,"
"EN^107808750RR0001^BC^C^03-04-1989 0:00^5.0^70.0^nan^nan^SS6 & SS4 & SS3^18.0^30.0^21.0^Assistant Director^West Coast^2111482.0,,,"
