,QuestionKey,QuestionText,QuestionTheme,userProv,userSize,userDomain,userLang,choiceRecode,choiceText,responseText,responseValue
0,QID16,"If your organization had a New Year's resolution, in one sentence, what would it be?",OTH,NB,small,philatronic,EN,-1,,To strive to do more for the animals who need our help,
1,QID16,"If your organization had a New Year's resolution, in one sentence, what would it be?",OTH,ON,medium,philatronic,EN,-1,,"Focus on revenue positive growth and scrum, scrum, scrum to meet our new market demand.",
2,QID16,"If your organization had a New Year's resolution, in one sentence, what would it be?",OTH,BC,medium,philatronic,EN,-1,,to advance reconciliation in our organization and communities.,
3,QID16,"If your organization had a New Year's resolution, in one sentence, what would it be?",OTH,BC,large,philatronic,EN,-1,,Securing sustainability and core funding,
4,QID16,"If your organization had a New Year's resolution, in one sentence, what would it be?",OTH,ON,large,philatronic,EN,-1,,to stabilize staffing,
5,QID16,"If your organization had a New Year's resolution, in one sentence, what would it be?",OTH,ON,large,philatronic,EN,-1,,"To increase our staff complement, both service delivery and management/admin",
6,QID16,"If your organization had a New Year's resolution, in one sentence, what would it be?",OTH,MB,medium,philatronic,EN,-1,,to advocate for the same tax deduction for charities that citizens receive for political party donations,
7,QID16,"If your organization had a New Year's resolution, in one sentence, what would it be?",OTH,NS,large,philatronic,EN,-1,,Reibuild female based governance structures in Aerosan Nepal after passing of key person,
8,QID16,"If your organization had a New Year's resolution, in one sentence, what would it be?",OTH,ON,large,philatronic,EN,-1,,stay refreshed,
9,QID16,"If your organization had a New Year's resolution, in one sentence, what would it be?",OTH,NS,large,philatronic,EN,-1,,Secure wage funding for staff,
10,QID16,"If your organization had a New Year's resolution, in one sentence, what would it be?",OTH,AB,large,philatronic,EN,-1,,Reconnecting our community,
11,QID16,"If your organization had a New Year's resolution, in one sentence, what would it be?",OTH,AB,large,philatronic,EN,-1,,Bring in more funding.,
12,QID16,"If your organization had a New Year's resolution, in one sentence, what would it be?",OTH,AB,large,philatronic,EN,-1,,A smooth transition for a new Executive Director.,
13,QID16,"If your organization had a New Year's resolution, in one sentence, what would it be?",OTH,AB,large,philatronic,EN,-1,,Fulfilling all plans that are made and engage positively with the public post covid.,
14,QID16,"If your organization had a New Year's resolution, in one sentence, what would it be?",OTH,ON,small,philatronic,EN,-1,,To Increase our positive social and environment impact while maintaining our integrity and transparency to donors,
