,QuestionKey,QuestionText,QuestionTheme,userProv,userSize,userDomain,userLang,choiceRecode,choiceText,responseText,responseValue
0,QID11,What are your organization’s greatest assets or strengths? (Multiple choice - please select no more than 3),CHA,NB,small,philatronic,EN,9,Ability to deliver on our mission,,1
1,QID11,What are your organization’s greatest assets or strengths? (Multiple choice - please select no more than 3),CHA,NB,small,philatronic,EN,19,Our reputation / credibility,,1
2,QID11,What are your organization’s greatest assets or strengths? (Multiple choice - please select no more than 3),CHA,NB,small,philatronic,EN,13,Relationships with our community,,1
3,QID11,What are your organization’s greatest assets or strengths? (Multiple choice - please select no more than 3),CHA,ON,medium,philatronic,EN,9,Ability to deliver on our mission,,1
4,QID11,What are your organization’s greatest assets or strengths? (Multiple choice - please select no more than 3),CHA,ON,medium,philatronic,EN,7,Membership,,1
5,QID11,What are your organization’s greatest assets or strengths? (Multiple choice - please select no more than 3),CHA,ON,large,philatronic,EN,9,Ability to deliver on our mission,,1
6,QID11,What are your organization’s greatest assets or strengths? (Multiple choice - please select no more than 3),CHA,ON,large,philatronic,EN,17,Adaptability,,1
7,QID11,What are your organization’s greatest assets or strengths? (Multiple choice - please select no more than 3),CHA,ON,large,philatronic,EN,5,Frontline workers,,1
8,QID11,What are your organization’s greatest assets or strengths? (Multiple choice - please select no more than 3),CHA,BC,medium,philatronic,EN,9,Ability to deliver on our mission,,1
9,QID11,What are your organization’s greatest assets or strengths? (Multiple choice - please select no more than 3),CHA,BC,medium,philatronic,EN,5,Frontline workers,,1
10,QID11,What are your organization’s greatest assets or strengths? (Multiple choice - please select no more than 3),CHA,BC,medium,philatronic,EN,13,Relationships with our community,,1
11,QID11,What are your organization’s greatest assets or strengths? (Multiple choice - please select no more than 3),CHA,BC,large,philatronic,EN,9,Ability to deliver on our mission,,1
12,QID11,What are your organization’s greatest assets or strengths? (Multiple choice - please select no more than 3),CHA,BC,large,philatronic,EN,17,Adaptability,,1
13,QID11,What are your organization’s greatest assets or strengths? (Multiple choice - please select no more than 3),CHA,BC,large,philatronic,EN,18,Organizational culture,,1
14,QID11,What are your organization’s greatest assets or strengths? (Multiple choice - please select no more than 3),CHA,ON,medium,philatronic,EN,9,Ability to deliver on our mission,,1
15,QID11,What are your organization’s greatest assets or strengths? (Multiple choice - please select no more than 3),CHA,ON,medium,philatronic,EN,19,Our reputation / credibility,,1
16,QID11,What are your organization’s greatest assets or strengths? (Multiple choice - please select no more than 3),CHA,ON,medium,philatronic,EN,14,Relationships with donors/funders,,1
17,QID11,What are your organization’s greatest assets or strengths? (Multiple choice - please select no more than 3),CHA,NS,large,philatronic,EN,9,Ability to deliver on our mission,,1
18,QID11,What are your organization’s greatest assets or strengths? (Multiple choice - please select no more than 3),CHA,NS,large,philatronic,EN,8,Our approach to diversity and inclusion,,1
19,QID11,What are your organization’s greatest assets or strengths? (Multiple choice - please select no more than 3),CHA,NS,large,philatronic,EN,13,Relationships with our community,,1
20,QID11,What are your organization’s greatest assets or strengths? (Multiple choice - please select no more than 3),CHA,ON,large,philatronic,EN,9,Ability to deliver on our mission,,1
21,QID11,What are your organization’s greatest assets or strengths? (Multiple choice - please select no more than 3),CHA,ON,large,philatronic,EN,18,Organizational culture,,1
22,QID11,What are your organization’s greatest assets or strengths? (Multiple choice - please select no more than 3),CHA,ON,large,philatronic,EN,13,Relationships with our community,,1
23,QID11,What are your organization’s greatest assets or strengths? (Multiple choice - please select no more than 3),CHA,ON,large,philatronic,EN,4,CEO,,1
24,QID11,What are your organization’s greatest assets or strengths? (Multiple choice - please select no more than 3),CHA,ON,large,philatronic,EN,19,Our reputation / credibility,,1
25,QID11,What are your organization’s greatest assets or strengths? (Multiple choice - please select no more than 3),CHA,ON,large,philatronic,EN,14,Relationships with donors/funders,,1
26,QID11,What are your organization’s greatest assets or strengths? (Multiple choice - please select no more than 3),CHA,NS,large,philatronic,EN,13,Relationships with our community,,1
27,QID11,What are your organization’s greatest assets or strengths? (Multiple choice - please select no more than 3),CHA,NS,large,philatronic,EN,6,Volunteers,,1
