,QuestionKey,QuestionText,QuestionTheme,userProv,userSize,userDomain,userLang,choiceRecode,choiceText,responseText,responseValue
0,QID16,Does your organization work with volunteers (excluding on your board of directors)?,GOV,AB,small,other,EN,7,Yes,,7
1,QID16,Does your organization work with volunteers (excluding on your board of directors)?,GOV,AB,small,other,EN,8,No,,8
2,QID16,Does your organization work with volunteers (excluding on your board of directors)?,GOV,ON,large,philatronic,EN,7,Yes,,7
3,QID16,Does your organization work with volunteers (excluding on your board of directors)?,GOV,ON,large,philatronic,EN,7,Yes,,7
4,QID16,Does your organization work with volunteers (excluding on your board of directors)?,GOV,Unknown,medium,philatronic,EN,8,No,,8
5,QID16,Does your organization work with volunteers (excluding on your board of directors)?,GOV,ON,small,philatronic,EN,7,Yes,,7
6,QID16,Does your organization work with volunteers (excluding on your board of directors)?,GOV,NB,medium,philatronic,EN,7,Yes,,7
7,QID16,Does your organization work with volunteers (excluding on your board of directors)?,GOV,ON,large,philatronic,EN,8,No,,8
8,QID16,Does your organization work with volunteers (excluding on your board of directors)?,GOV,ON,large,philatronic,EN,7,Yes,,7
9,QID16,Does your organization work with volunteers (excluding on your board of directors)?,GOV,QC,large,philatronic,EN,8,No,,8
10,QID16,Does your organization work with volunteers (excluding on your board of directors)?,GOV,QC,large,philatronic,FR,8,No,,8
11,QID16,Does your organization work with volunteers (excluding on your board of directors)?,GOV,ON,medium,philatronic,EN,7,Yes,,7
12,QID16,Does your organization work with volunteers (excluding on your board of directors)?,GOV,ON,large,philatronic,EN,7,Yes,,7
13,QID16,Does your organization work with volunteers (excluding on your board of directors)?,GOV,ON,medium,philatronic,EN,7,Yes,,7
14,QID16,Does your organization work with volunteers (excluding on your board of directors)?,GOV,ON,large,philatronic,EN,7,Yes,,7
15,QID16,Does your organization work with volunteers (excluding on your board of directors)?,GOV,BC,medium,philatronic,EN,7,Yes,,7
16,QID16,Does your organization work with volunteers (excluding on your board of directors)?,GOV,ON,small,philatronic,EN,8,No,,8
17,QID16,Does your organization work with volunteers (excluding on your board of directors)?,GOV,NS,large,philatronic,EN,7,Yes,,7
18,QID16,Does your organization work with volunteers (excluding on your board of directors)?,GOV,Unknown,small,philatronic,FR,8,No,,8
19,QID16,Does your organization work with volunteers (excluding on your board of directors)?,GOV,ON,large,philatronic,EN,7,Yes,,7
20,QID16,Does your organization work with volunteers (excluding on your board of directors)?,GOV,Unknown,large,philatronic,EN,7,Yes,,7
21,QID16,Does your organization work with volunteers (excluding on your board of directors)?,GOV,ON,small,philatronic,EN,7,Yes,,7
22,QID16,Does your organization work with volunteers (excluding on your board of directors)?,GOV,ON,large,philatronic,EN,7,Yes,,7
23,QID16,Does your organization work with volunteers (excluding on your board of directors)?,GOV,Unknown,large,philatronic,EN,7,Yes,,7
24,QID16,Does your organization work with volunteers (excluding on your board of directors)?,GOV,AB,medium,philatronic,EN,8,No,,8
25,QID16,Does your organization work with volunteers (excluding on your board of directors)?,GOV,ON,large,philatronic,EN,7,Yes,,7
26,QID16,Does your organization work with volunteers (excluding on your board of directors)?,GOV,ON,large,philatronic,EN,7,Yes,,7
27,QID16,Does your organization work with volunteers (excluding on your board of directors)?,GOV,ON,large,philatronic,EN,7,Yes,,7
28,QID16,Does your organization work with volunteers (excluding on your board of directors)?,GOV,Unknown,large,philatronic,EN,7,Yes,,7
29,QID16,Does your organization work with volunteers (excluding on your board of directors)?,GOV,MB,large,philatronic,EN,7,Yes,,7
30,QID16,Does your organization work with volunteers (excluding on your board of directors)?,GOV,NB,large,philatronic,EN,7,Yes,,7
31,QID16,Does your organization work with volunteers (excluding on your board of directors)?,GOV,ON,small,philatronic,EN,7,Yes,,7
32,QID16,Does your organization work with volunteers (excluding on your board of directors)?,GOV,ON,medium,philatronic,EN,8,No,,8
33,QID16,Does your organization work with volunteers (excluding on your board of directors)?,GOV,PE,large,philatronic,EN,7,Yes,,7
34,QID16,Does your organization work with volunteers (excluding on your board of directors)?,GOV,ON,large,philatronic,EN,8,No,,8
35,QID16,Does your organization work with volunteers (excluding on your board of directors)?,GOV,ON,large,philatronic,EN,7,Yes,,7
36,QID16,Does your organization work with volunteers (excluding on your board of directors)?,GOV,QC,large,philatronic,FR,7,Yes,,7
37,QID16,Does your organization work with volunteers (excluding on your board of directors)?,GOV,NS,small,philatronic,EN,7,Yes,,7
38,QID16,Does your organization work with volunteers (excluding on your board of directors)?,GOV,Unknown,large,philatronic,EN,7,Yes,,7
