,QuestionKey,QuestionText,QuestionTheme,userProv,userSize,userDomain,userLang,choiceRecode,choiceText,responseText,responseValue
0,QID14,"How much do you feel each of the below will affect the work of your organization over the next year? (Sliding scale: -10: significant harm, -5: some harm, 0: no effect, 5: some benefits, 10: significant benefits)",CHA,NB,small,philatronic,EN,1,Changes in the labour market (paid & volunteer workers),,-6
1,QID14,"How much do you feel each of the below will affect the work of your organization over the next year? (Sliding scale: -10: significant harm, -5: some harm, 0: no effect, 5: some benefits, 10: significant benefits)",CHA,NB,small,philatronic,EN,2,The COVID 19 Pandemic,,2
2,QID14,"How much do you feel each of the below will affect the work of your organization over the next year? (Sliding scale: -10: significant harm, -5: some harm, 0: no effect, 5: some benefits, 10: significant benefits)",CHA,NB,small,philatronic,EN,3,Inflation,,-10
3,QID14,"How much do you feel each of the below will affect the work of your organization over the next year? (Sliding scale: -10: significant harm, -5: some harm, 0: no effect, 5: some benefits, 10: significant benefits)",CHA,NB,small,philatronic,EN,4,Racial & Indigenous justice movement,,6
4,QID14,"How much do you feel each of the below will affect the work of your organization over the next year? (Sliding scale: -10: significant harm, -5: some harm, 0: no effect, 5: some benefits, 10: significant benefits)",CHA,NB,small,philatronic,EN,5,Other,,-9
5,QID14,"How much do you feel each of the below will affect the work of your organization over the next year? (Sliding scale: -10: significant harm, -5: some harm, 0: no effect, 5: some benefits, 10: significant benefits)",CHA,ON,large,philatronic,EN,1,Changes in the labour market (paid & volunteer workers),,-5
6,QID14,"How much do you feel each of the below will affect the work of your organization over the next year? (Sliding scale: -10: significant harm, -5: some harm, 0: no effect, 5: some benefits, 10: significant benefits)",CHA,ON,large,philatronic,EN,2,The COVID 19 Pandemic,,-5
7,QID14,"How much do you feel each of the below will affect the work of your organization over the next year? (Sliding scale: -10: significant harm, -5: some harm, 0: no effect, 5: some benefits, 10: significant benefits)",CHA,ON,large,philatronic,EN,3,Inflation,,-8
8,QID14,"How much do you feel each of the below will affect the work of your organization over the next year? (Sliding scale: -10: significant harm, -5: some harm, 0: no effect, 5: some benefits, 10: significant benefits)",CHA,ON,large,philatronic,EN,4,Racial & Indigenous justice movement,,0
9,QID14,"How much do you feel each of the below will affect the work of your organization over the next year? (Sliding scale: -10: significant harm, -5: some harm, 0: no effect, 5: some benefits, 10: significant benefits)",CHA,BC,medium,philatronic,EN,1,Changes in the labour market (paid & volunteer workers),,4
10,QID14,"How much do you feel each of the below will affect the work of your organization over the next year? (Sliding scale: -10: significant harm, -5: some harm, 0: no effect, 5: some benefits, 10: significant benefits)",CHA,BC,medium,philatronic,EN,2,The COVID 19 Pandemic,,0
11,QID14,"How much do you feel each of the below will affect the work of your organization over the next year? (Sliding scale: -10: significant harm, -5: some harm, 0: no effect, 5: some benefits, 10: significant benefits)",CHA,BC,medium,philatronic,EN,3,Inflation,,-4
12,QID14,"How much do you feel each of the below will affect the work of your organization over the next year? (Sliding scale: -10: significant harm, -5: some harm, 0: no effect, 5: some benefits, 10: significant benefits)",CHA,BC,medium,philatronic,EN,4,Racial & Indigenous justice movement,,7
